18,1586,19,1,0
40,1586,41,2,1
70,1622,92,3,0
136,1619,137,2,1
137,1619,138,2,1
138,1619,139,2,1
139,1619,140,2,1
140,1619,1619,4,0
143,1619,142,1,2
144,1619,143,1,2
145,1619,144,1,2
146,1619,145,1,2
147,1619,146,1,2
214,1638,236,3,0
247,1663,225,0,3
292,1651,314,3,0
328,1632,350,3,0
349,1632,371,3,0
356,1607,378,3,0
357,1607,379,3,0
369,1607,370,2,1
371,1632,393,3,0
378,1607,379,2,1
379,1607,1607,4,0
392,1632,414,3,0
400,1607,378,0,3
401,1607,379,0,3
437,1587,436,1,2
447,1584,446,1,2
499,1632,521,3,0
519,1596,520,2,1
529,1615,551,3,0
536,1666,535,1,2
541,1596,542,2,1
542,1632,543,2,1
564,1596,565,2,1
585,1632,586,2,1
586,1596,587,2,1
605,1631,604,1,2
606,1632,607,2,1
609,1596,587,0,3
613,1642,635,3,0
624,1609,623,1,2
627,1626,626,1,2
631,1596,609,0,3
649,1632,650,2,1
654,1596,632,0,3
659,1642,681,3,0
676,1596,654,0,3
699,1596,677,0,3
699,1607,721,3,0
721,1596,699,0,3
743,1590,765,3,0
805,1596,827,3,0
806,1596,828,3,0
807,1596,829,3,0
827,1596,826,1,2
828,1596,827,1,2
829,1596,828,1,2
865,1589,887,3,0
873,1632,874,2,1
874,1632,875,2,1
875,1632,876,2,1
876,1632,877,2,1
877,1632,878,2,1
878,1632,1632,4,0
884,1619,883,1,2
892,1663,893,2,1
895,1632,873,0,3
896,1632,874,0,3
897,1632,875,0,3
898,1632,876,0,3
899,1632,877,0,3
900,1632,878,0,3
924,1649,946,2,0
939,1649,961,3,0
940,1649,962,3,0
941,1649,963,3,0
942,1649,964,3,0
946,1649,1649,4,0
950,1643,972,3,0
961,1649,962,2,1
962,1649,963,2,1
963,1649,964,2,1
968,1649,946,0,2
986,1649,964,0,3
990,1649,968,0,2
1008,1649,986,0,3
1012,1649,990,0,2
1030,1649,1008,0,3
1034,1649,1012,0,2
1052,1649,1030,0,3
1056,1649,1034,0,2
1074,1649,1052,0,3
1078,1649,1056,0,2
1096,1649,1074,0,3
1100,1649,1078,0,2
1107,1654,1106,1,2
1118,1649,1096,0,3
1122,1649,1100,0,2
1140,1649,1118,0,3
1144,1649,1122,0,2
1162,1649,1140,0,3
1166,1649,1144,0,2
1184,1649,1162,0,3
1188,1649,1166,0,2
